10001,Michael York        ,3186 University Drive,,,Abbadia Alpina,TO,IT,10060,0000,Michael.E.York@spambob.com,0390 7539464,90.30,SE133 ,IT,ZYLCUE35H57C673Z,3088530000000021,JCB,1112,4950,
10002,Rene Dunn           ,852 Oakmound Road,,,Aberdeen,OH,US,45101,0000,Rene.K.Dunn@dodgeit.com,618-628-5618,0.00,NC169 ,UK,LY997752B,370000066952237,American Express,0710,6951,
10003,Allen Perl          ,4707 Hillcrest Lane,,,Abeto,PG,IT,06040,0000,Allen.M.Perl@spambob.com,0370 4762239,304.00,RP385 ,U.S.,022867928,5500970000000016,Master Card,0908,6120,
10004,Robert Olson        ,3887 Echo Lane,,,Abilene,TX,US,79601,0000,Robert.C.Olson@spambob.com,318-214-4533,304.00,SE337 ,U.S.,445590001,4111110536846020,VISA,0312,1794,
10005,Joe Jusino          ,4156 Overlook Drive,,,Abingdon,VA,US,24210,0000,Joe.D.Jusino@spambob.com,619-296-8951,180.30,WE355 ,ES,6657001L,4111670000000016,VISA,1015,7596,
10006,Rebecca Conner      ,4679 Winding Way,,,Acate,RG,IT,97011,0000,Rebecca.R.Conner@spambob.com,0334 0902146,52.00,SC325 ,IT,VYKLHX12L64M140V,3088000424968070,JCB,0113,7822,
10352,Gary Bolger         ,657 Saints Alley,,,Bloomington,IL,US,61701,0000,Gary.N.Bolger@dodgeit.com,904-475-8949,673.00,WE283 ,U.S.,023868052,4111620000000029,VISA,0511,1794,
10422,Steve Farmer        ,2250 Michigan Avenue,,,Brant,MI,US,48614,0000,Steve.A.Farmer@dodgeit.com,803-593-3693,904.86,NE307 ,CA,036912715,3088820000000034,JCB,0216,4511,
10007,Anthony Whitney     ,518 Highland View Drive,,,Achstetten,,DE,88480,0000,Anthony.H.Whitney@pookmail.com,03571 39 94 30,354.00,WE349 ,IT,NXFXLA90D69D741G,4111930000000030,VISA,0115,9785,
10008,Alberto Barnes      ,4877 Armbrester Drive,,,Acquabona,BL,IT,32043,0000,Alberto.T.Barnes@pookmail.com,0336 7304060,352.00,SW211 ,CA,575111703,370000057080303,American Express,0915,2725,
10009,Ronald Fowler       ,708 Saint Francis Way,,,Acquarica Del Capo,LE,IT,73040,0000,Ronald.J.Fowler@dodgeit.com,0332 7751833,0.00,NW313 ,IT,MMDLDN21R19A440O,370000063053765,American Express,0914,5606,
10010,Christopher Mendoza ,2736 Doctors Drive,,,Acquarola,SA,IT,84080,0000,Christopher.V.Mendoza@trashymail.com,0331 6165157,180.30,NC160 ,FR,136044309565583,370000056182555,American Express,0113,7416,
10012,Chris Sanchez       ,2776 Renwick Drive,,,ACTON,,UK,SY9 6CX,0000,Chris.M.Sanchez@pookmail.com,070 7331 5894,5869.40,RP385 ,U.S.,506510001,6011340000000012,Discover,1110,6391,
10013,Norbert Cantu       ,2124 Henry Ford Avenue,,,Ada,MI,US,49301,0000,Norbert.T.Cantu@spambob.com,614-355-2446,6101.00,SW280 ,CA,272701863,6011000433761800,Discover,1213,1802,
10014,Mike Smith          ,4061 Jacobs Street,,,Adairville,KY,US,42202,0000,Mike.L.Smith@spambob.com,505-726-2764,290.48,SW214 ,CA,333823805,4111110000000054,VISA,0717,3958,
10015,Thomas Owens        ,4030 Jessie Street,,,Adami,CZ,IT,88041,0000,Thomas.N.Owens@mailinator.com,0341 5536286,304.00,WE352 ,FR,148033910442037,4111620000000060,VISA,0610,7655,
10016,Margaret Gentry     ,187 Davisson Street,,,Addison,IL,US,60101,0000,Margaret.R.Gentry@dodgeit.com,330-893-3201,0.00,SW148 ,IT,PEEAAE62L12Z511J,30000004472563,Diners Club,0909,5965,
10018,Curtis Lau          ,539 Boggess Street,,,Afragola,NA,IT,80021,0000,Curtis.N.Lau@dodgeit.com,0346 1983300,5000.90,NW118 ,UK,RS262755D,30000000019897,Diners Club,0314,287,
10019,Anthony Carr        ,2866 Quilly Lane,,,Agallas,,ES,37511,0000,Anthony.T.Carr@trashymail.com,91-635-1987,3780.51,SE208 ,IT,EOOIAI58A45B091X,6011290000000027,Discover,0910,2816,
10020,Jasmine Love        ,4554 Davis Street,,,Agliano Terme,AT,IT,14041,0000,Jasmine.M.Love@trashymail.com,0321 0654174,152.00,RP319 ,U.S.,246990001,370000052601103,American Express,0914,9458,
10021,Earl Gay            ,1015 Eagle Street,,,Agnadello,CR,IT,26020,0000,Earl.R.Gay@mailinator.com,0383 3662357,0.00,WE220 ,ES,X4243962W,4111160000000075,VISA,0913,2675,
10022,Jonathan Quijano    ,4207 Geraldine Lane,,,Agnano,NA,IT,80125,0000,Jonathan.T.Quijano@spambob.com,0387 2982148,5320.86,WE355 ,ES,7122720B,6011960000000033,Discover,1215,834,
10024,Earl Johnson        ,816 Mesa Drive,,,Agua Dulce,TX,US,78380,0000,Earl.J.Johnson@mailinator.com,541-643-5617,2550.00,SC388 ,UK,AX089853D,3088950000000047,JCB,0708,7163,
10025,Manuel Cook         ,4881 Hall Place,,,Aielli,AQ,IT,67041,0000,Manuel.E.Cook@trashymail.com,0386 9541982,298.83,NE175 ,ES,X0449474P,5500250000000021,Master Card,1017,3598,
10026,Kelly Tracy         ,2381 Liberty Avenue,,,Aiello Calabro,CS,IT,87031,0000,Kelly.N.Tracy@pookmail.com,0383 7098564,5869.40,NW184 ,IT,POXLWX22P51E902N,370000011575950,American Express,0614,1760,
10027,Melvin Schmitz      ,20 Rocky Road,,,Aigues,,ES,03569,0000,Melvin.B.Schmitz@dodgeit.com,91-102-2813,304.00,SW409 ,IT,UAENZJ93C71L915W,4111620000000094,VISA,0212,9166,
10028,Michele Griffith    ,4784 Hillcrest Lane,,,Aix-en-provence,,FR,13090,0000,Michele.J.Griffith@spambob.com,03.94.74.30.66,904.86,NE235 ,ES,2379456Z,6011750000000046,Discover,1217,6086,
10031,John Hoffman        ,1660 Lighthouse Drive,,,Akron,OH,US,44311,0000,John.D.Hoffman@trashymail.com,608-822-4333,492.00,SW274 ,IT,RGQKFP86T41C178Z,370000065174064,American Express,1216,4216,
10032,Kimberly Rutherford ,220 Red Maple Drive,,,Ala Di Stura,TO,IT,10070,0000,Kimberly.J.Rutherford@trashymail.com,0311 2766568,568.30,SC325 ,U.S.,023868133,370000013799657,American Express,1116,9597,
10033,Stanley Scott       ,459 Jody Road,,,Alagna Lomellina,PV,IT,27020,0000,Stanley.L.Scott@spambob.com,0384 4420051,6000.28,SW280 ,CA,969716786,370000022700373,American Express,0910,2663,
10034,Stephanie Greenawalt,142 James Avenue,,,Alassio,SV,IT,17021,0000,Stephanie.R.Greenawalt@dodgeit.com,0355 3948042,6000.28,SE265 ,IT,KWHDYE40T17F390F,4111180000000107,VISA,0611,9293,
10035,Muriel Exley        ,2645 Kooter Lane,,,Alba Di Canazei,TN,IT,38030,0000,Muriel.J.Exley@trashymail.com,0326 8920950,18735.70,SW412 ,FR,267074906371081,6011510000000051,Discover,0716,3857,
10036,Jo Lugo             ,4456 Bond Street,,,Albanella,SA,IT,84044,0000,Jo.E.Lugo@mailinator.com,0381 6029987,853.30,SE205 ,ES,6167598X,370000071912911,American Express,0112,23,
10037,Dana Brownlee       ,4732 Yorkie Lane,,,Albany,NY,US,12210,0000,Dana.M.Brownlee@spambob.com,361-257-4276,492.00,NE373 ,U.S.,214770003,370000001058447,American Express,0612,2218,
10038,John Dunn           ,152 Hidden Pond Road,,,Albany,GA,US,31707,0000,John.N.Dunn@mailinator.com,530-270-6675,486.00,WE223 ,FR,889063511125223,370000055265831,American Express,0414,2187,
10039,James Moyle         ,288 Vineyard Drive,,,Albany,NY,US,12204,0000,James.O.Moyle@pookmail.com,614-241-8539,904.86,NW247 ,IT,MQRAXX73T01A895J,5500410000000039,Master Card,1217,6641,
10040,Stephen Gillespie   ,2914 Hornor Avenue,,,Albany,GA,US,31707,0000,Stephen.B.Gillespie@trashymail.com,941-779-5792,853.30,WE286 ,CA,460589757,30000000725790,Diners Club,0217,9036,
10041,Mary Austin         ,2703 Eden Drive,,,Albany,NY,US,12207,0000,Mary.H.Austin@mailinator.com,315-784-4413,18735.70,NE238 ,UK,TE265940B,30000003119538,Diners Club,0411,2293,
